creator_id,creator_name,series_name,season_id,episode_no,views,likes,watchlist,subscribers,episode_duration,completion_rate,genre,language,year,series_duration
C001,Arjun Rao,City Stories,S1,1,42872,2141,1579,11669,39,0.68,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,2,41299,2397,1283,11669,89,0.67,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,3,43084,2412,542,11669,104,0.72,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,4,42216,1650,1053,11669,33,0.64,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,5,39947,2756,1382,11669,81,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,6,49439,2645,1208,11669,64,0.57,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,7,43484,2045,896,11669,37,0.87,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,8,43078,2627,1645,11669,117,0.68,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,9,35408,1974,831,11669,47,0.65,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,10,49024,1612,552,11669,116,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,11,32425,1994,389,11669,112,0.59,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,12,40020,1308,1279,11669,69,0.8,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,13,40103,3122,1537,11669,71,0.85,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,14,30990,1970,985,11669,51,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,15,34143,2242,1035,11669,101,0.88,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,16,66827,5014,2427,11669,77,0.85,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,17,49669,3429,1833,11669,40,0.62,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,18,49412,3573,1534,11669,76,0.67,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,19,53534,1899,1802,11669,58,0.67,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,20,49000,3182,1422,11669,104,0.79,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,21,53255,3651,574,11669,81,0.78,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,22,32327,2463,1068,11669,55,0.57,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,23,51112,2663,889,11669,90,0.8,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,24,58156,3773,973,11669,57,0.57,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,25,27985,1314,958,11669,50,0.85,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,26,40050,2505,1371,11669,31,0.82,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,27,31257,1554,1144,11669,46,0.73,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,28,21578,1032,666,11669,70,0.69,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,29,34390,2630,586,11669,60,0.82,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,30,17020,1174,580,11669,95,0.71,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,31,22832,787,230,11669,84,0.74,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,32,53105,2363,2035,11669,100,0.78,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,33,74035,4172,1426,11669,76,0.63,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,34,38932,2088,1268,11669,61,0.89,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,35,49037,2126,720,11669,69,0.62,Drama,Hindi,2024,3986
C001,Arjun Rao,City Stories,S1,36,43821,1614,679,11669,55,0.6,Drama,Hindi,2024,3986
